MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,MntTotal,MntRegularProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,AcceptedCmpOverall
635,88,546,172,88,88,1529,1441,3,8,10,4,7,0,0,0,0,0,0
11,1,6,2,1,6,21,15,2,1,1,2,5,0,0,0,0,0,0
426,49,127,111,21,42,734,692,1,8,2,10,4,0,0,0,0,0,0
11,4,20,10,3,5,48,43,2,2,0,4,6,0,0,0,0,0,0
173,43,118,46,27,15,407,392,5,5,3,6,5,0,0,0,0,0,0
520,42,98,0,42,14,702,688,2,6,4,10,6,0,0,0,0,0,0
235,65,164,50,49,27,563,536,4,7,3,7,6,0,0,0,0,0,0
76,10,56,3,1,23,146,123,2,4,0,4,8,0,0,0,0,0,0
14,0,24,3,3,2,44,42,1,3,0,2,9,0,0,0,0,0,0
28,0,6,1,1,13,36,23,1,1,0,0,20,1,0,0,0,0,1
6,16,11,11,1,16,45,29,1,2,0,3,8,0,0,0,0,0,0
194,61,480,225,112,30,1072,1042,1,3,4,8,2,0,0,0,0,0,0
233,2,53,3,5,14,296,282,3,6,1,5,6,0,0,0,0,0,0
3,14,17,6,1,5,41,36,1,1,0,3,8,0,0,0,0,0,0
1006,22,115,59,68,45,1270,1225,1,7,6,12,3,0,0,1,1,0,2
53,5,19,2,13,4,92,88,3,3,0,3,8,0,0,0,0,0,0
84,5,38,150,12,28,289,261,2,4,1,6,7,0,0,0,0,0,0
1012,80,498,0,16,176,1606,1430,2,11,4,9,5,0,0,0,1,0,1
4,17,19,30,24,39,94,55,2,2,1,3,6,0,0,0,0,0,0
86,2,73,69,38,48,268,220,1,4,2,5,8,0,0,0,0,0,0
1,1,1725,1,1,1,1729,1728,15,0,28,0,1,0,0,0,0,0,0
867,0,86,0,0,19,953,934,3,2,3,9,8,0,1,0,0,0,1
384,0,102,21,32,5,539,534,3,6,2,9,4,0,0,0,0,0,0
270,3,27,39,6,99,345,246,7,7,1,5,8,0,0,0,0,0,0
6,4,25,15,12,13,62,49,2,2,1,3,7,0,0,0,0,0,0
173,4,30,3,6,41,216,175,4,5,1,4,7,0,0,0,0,0,0
36,2,42,20,21,10,121,111,2,2,1,4,3,0,0,0,0,0,0
684,100,801,21,66,0,1672,1672,1,6,9,10,2,0,0,1,0,0,1
8,4,10,2,2,4,26,22,2,3,0,3,5,0,0,0,0,0,0
112,17,44,34,22,89,229,140,1,2,5,3,3,0,0,0,0,0,0
110,0,5,2,0,3,117,114,2,2,1,4,5,0,1,0,0,0,1
96,12,96,33,22,43,259,216,6,4,1,6,6,0,0,0,0,0,0
482,34,471,119,68,22,1174,1152,1,3,5,9,7,0,0,0,0,0,0
